trendId,company,product,genericName,brandContext,diseaseAreas,overlapUnits,linkedPrograms,period,year,status,revenueUsdM,growthVsPrior,projectionBasis,patentSummary,patentEvents,sourceUrls
OPDIVO_FRANCHISE,Bristol Myers Squibb,Opdivo franchise,nivolumab; includes Opdivo Qvantig from 2025,Marketed component / IO franchise,Solid-tumor oncology,NSCLC | Immuno-oncology,atigotatug + nivolumab | nivolumab + relatlimab HD,2024,2024,reported,9304,0.03274503274503271,"2026E annualizes H1 2026 Opdivo plus Opdivo Qvantig. The scenario then applies material erosion at the disclosed US, EU and Japan exclusivity dates.","Disclosed minimum exclusivity dates for Opdivo: US 2028, EU 2030 and Japan 2031. The scenario applies sequential regional erosion.",2028: US LOE | 2030: EU LOE | 2031: Japan LOE,https://www.sec.gov/Archives/edgar/data/14272/000001427226000004/bmy-20251231.htm | https://www.bms.com/assets/bms/us/en-us/pdf/investor-info/doc_financials/quarterly_reports/2026/ghBMY-Q2-2026-Earnings-Press-Release.pdf
OPDIVO_FRANCHISE,Bristol Myers Squibb,Opdivo franchise,nivolumab; includes Opdivo Qvantig from 2025,Marketed component / IO franchise,Solid-tumor oncology,NSCLC | Immuno-oncology,atigotatug + nivolumab | nivolumab + relatlimab HD,2025,2025,reported,10287,0.10565348237317274,"2026E annualizes H1 2026 Opdivo plus Opdivo Qvantig. The scenario then applies material erosion at the disclosed US, EU and Japan exclusivity dates.","Disclosed minimum exclusivity dates for Opdivo: US 2028, EU 2030 and Japan 2031. The scenario applies sequential regional erosion.",2028: US LOE | 2030: EU LOE | 2031: Japan LOE,https://www.sec.gov/Archives/edgar/data/14272/000001427226000004/bmy-20251231.htm | https://www.bms.com/assets/bms/us/en-us/pdf/investor-info/doc_financials/quarterly_reports/2026/ghBMY-Q2-2026-Earnings-Press-Release.pdf
OPDIVO_FRANCHISE,Bristol Myers Squibb,Opdivo franchise,nivolumab; includes Opdivo Qvantig from 2025,Marketed component / IO franchise,Solid-tumor oncology,NSCLC | Immuno-oncology,atigotatug + nivolumab | nivolumab + relatlimab HD,2026E,2026,projected,10110,-0.017206182560513317,"2026E annualizes H1 2026 Opdivo plus Opdivo Qvantig. The scenario then applies material erosion at the disclosed US, EU and Japan exclusivity dates.","Disclosed minimum exclusivity dates for Opdivo: US 2028, EU 2030 and Japan 2031. The scenario applies sequential regional erosion.",2028: US LOE | 2030: EU LOE | 2031: Japan LOE,https://www.sec.gov/Archives/edgar/data/14272/000001427226000004/bmy-20251231.htm | https://www.bms.com/assets/bms/us/en-us/pdf/investor-info/doc_financials/quarterly_reports/2026/ghBMY-Q2-2026-Earnings-Press-Release.pdf
OPDIVO_FRANCHISE,Bristol Myers Squibb,Opdivo franchise,nivolumab; includes Opdivo Qvantig from 2025,Marketed component / IO franchise,Solid-tumor oncology,NSCLC | Immuno-oncology,atigotatug + nivolumab | nivolumab + relatlimab HD,2027,2027,projected,9908,-0.019980217606330397,"2026E annualizes H1 2026 Opdivo plus Opdivo Qvantig. The scenario then applies material erosion at the disclosed US, EU and Japan exclusivity dates.","Disclosed minimum exclusivity dates for Opdivo: US 2028, EU 2030 and Japan 2031. The scenario applies sequential regional erosion.",2028: US LOE | 2030: EU LOE | 2031: Japan LOE,https://www.sec.gov/Archives/edgar/data/14272/000001427226000004/bmy-20251231.htm | https://www.bms.com/assets/bms/us/en-us/pdf/investor-info/doc_financials/quarterly_reports/2026/ghBMY-Q2-2026-Earnings-Press-Release.pdf
OPDIVO_FRANCHISE,Bristol Myers Squibb,Opdivo franchise,nivolumab; includes Opdivo Qvantig from 2025,Marketed component / IO franchise,Solid-tumor oncology,NSCLC | Immuno-oncology,atigotatug + nivolumab | nivolumab + relatlimab HD,2028,2028,projected,7431,-0.25,"2026E annualizes H1 2026 Opdivo plus Opdivo Qvantig. The scenario then applies material erosion at the disclosed US, EU and Japan exclusivity dates.","Disclosed minimum exclusivity dates for Opdivo: US 2028, EU 2030 and Japan 2031. The scenario applies sequential regional erosion.",2028: US LOE | 2030: EU LOE | 2031: Japan LOE,https://www.sec.gov/Archives/edgar/data/14272/000001427226000004/bmy-20251231.htm | https://www.bms.com/assets/bms/us/en-us/pdf/investor-info/doc_financials/quarterly_reports/2026/ghBMY-Q2-2026-Earnings-Press-Release.pdf
OPDIVO_FRANCHISE,Bristol Myers Squibb,Opdivo franchise,nivolumab; includes Opdivo Qvantig from 2025,Marketed component / IO franchise,Solid-tumor oncology,NSCLC | Immuno-oncology,atigotatug + nivolumab | nivolumab + relatlimab HD,2029,2029,projected,5945,-0.19997308572197547,"2026E annualizes H1 2026 Opdivo plus Opdivo Qvantig. The scenario then applies material erosion at the disclosed US, EU and Japan exclusivity dates.","Disclosed minimum exclusivity dates for Opdivo: US 2028, EU 2030 and Japan 2031. The scenario applies sequential regional erosion.",2028: US LOE | 2030: EU LOE | 2031: Japan LOE,https://www.sec.gov/Archives/edgar/data/14272/000001427226000004/bmy-20251231.htm | https://www.bms.com/assets/bms/us/en-us/pdf/investor-info/doc_financials/quarterly_reports/2026/ghBMY-Q2-2026-Earnings-Press-Release.pdf
OPDIVO_FRANCHISE,Bristol Myers Squibb,Opdivo franchise,nivolumab; includes Opdivo Qvantig from 2025,Marketed component / IO franchise,Solid-tumor oncology,NSCLC | Immuno-oncology,atigotatug + nivolumab | nivolumab + relatlimab HD,2030,2030,projected,4459,-0.24995794785534065,"2026E annualizes H1 2026 Opdivo plus Opdivo Qvantig. The scenario then applies material erosion at the disclosed US, EU and Japan exclusivity dates.","Disclosed minimum exclusivity dates for Opdivo: US 2028, EU 2030 and Japan 2031. The scenario applies sequential regional erosion.",2028: US LOE | 2030: EU LOE | 2031: Japan LOE,https://www.sec.gov/Archives/edgar/data/14272/000001427226000004/bmy-20251231.htm | https://www.bms.com/assets/bms/us/en-us/pdf/investor-info/doc_financials/quarterly_reports/2026/ghBMY-Q2-2026-Earnings-Press-Release.pdf
OPDIVO_FRANCHISE,Bristol Myers Squibb,Opdivo franchise,nivolumab; includes Opdivo Qvantig from 2025,Marketed component / IO franchise,Solid-tumor oncology,NSCLC | Immuno-oncology,atigotatug + nivolumab | nivolumab + relatlimab HD,2031,2031,projected,3567,-0.20004485310607756,"2026E annualizes H1 2026 Opdivo plus Opdivo Qvantig. The scenario then applies material erosion at the disclosed US, EU and Japan exclusivity dates.","Disclosed minimum exclusivity dates for Opdivo: US 2028, EU 2030 and Japan 2031. The scenario applies sequential regional erosion.",2028: US LOE | 2030: EU LOE | 2031: Japan LOE,https://www.sec.gov/Archives/edgar/data/14272/000001427226000004/bmy-20251231.htm | https://www.bms.com/assets/bms/us/en-us/pdf/investor-info/doc_financials/quarterly_reports/2026/ghBMY-Q2-2026-Earnings-Press-Release.pdf
OPDIVO_FRANCHISE,Bristol Myers Squibb,Opdivo franchise,nivolumab; includes Opdivo Qvantig from 2025,Marketed component / IO franchise,Solid-tumor oncology,NSCLC | Immuno-oncology,atigotatug + nivolumab | nivolumab + relatlimab HD,2032,2032,projected,3210,-0.1000841042893188,"2026E annualizes H1 2026 Opdivo plus Opdivo Qvantig. The scenario then applies material erosion at the disclosed US, EU and Japan exclusivity dates.","Disclosed minimum exclusivity dates for Opdivo: US 2028, EU 2030 and Japan 2031. The scenario applies sequential regional erosion.",2028: US LOE | 2030: EU LOE | 2031: Japan LOE,https://www.sec.gov/Archives/edgar/data/14272/000001427226000004/bmy-20251231.htm | https://www.bms.com/assets/bms/us/en-us/pdf/investor-info/doc_financials/quarterly_reports/2026/ghBMY-Q2-2026-Earnings-Press-Release.pdf
OPDUALAG,Bristol Myers Squibb,Opdualag,nivolumab + relatlimab-rmbw,Related marketed fixed-dose combination,Solid-tumor oncology,NSCLC | Immuno-oncology,nivolumab + relatlimab HD,2023,2023,reported,627,,2026E annualizes H1 2026. A base-case cliff begins around the currently listed 2033-2034 dates; pending patent-term/SPC extensions could delay the decline.,Current table: US 2034 and EU 2033; pending extensions could move US to 2036 and parts of Europe to 2038.,2033: EU base date | 2034: US base date | 2036: Potential US extension,https://www.sec.gov/Archives/edgar/data/14272/000001427226000004/bmy-20251231.htm | https://www.bms.com/assets/bms/us/en-us/pdf/investor-info/doc_financials/quarterly_reports/2026/ghBMY-Q2-2026-Earnings-Press-Release.pdf
OPDUALAG,Bristol Myers Squibb,Opdualag,nivolumab + relatlimab-rmbw,Related marketed fixed-dose combination,Solid-tumor oncology,NSCLC | Immuno-oncology,nivolumab + relatlimab HD,2024,2024,reported,928,0.48006379585326964,2026E annualizes H1 2026. A base-case cliff begins around the currently listed 2033-2034 dates; pending patent-term/SPC extensions could delay the decline.,Current table: US 2034 and EU 2033; pending extensions could move US to 2036 and parts of Europe to 2038.,2033: EU base date | 2034: US base date | 2036: Potential US extension,https://www.sec.gov/Archives/edgar/data/14272/000001427226000004/bmy-20251231.htm | https://www.bms.com/assets/bms/us/en-us/pdf/investor-info/doc_financials/quarterly_reports/2026/ghBMY-Q2-2026-Earnings-Press-Release.pdf
OPDUALAG,Bristol Myers Squibb,Opdualag,nivolumab + relatlimab-rmbw,Related marketed fixed-dose combination,Solid-tumor oncology,NSCLC | Immuno-oncology,nivolumab + relatlimab HD,2025,2025,reported,1185,0.2769396551724137,2026E annualizes H1 2026. A base-case cliff begins around the currently listed 2033-2034 dates; pending patent-term/SPC extensions could delay the decline.,Current table: US 2034 and EU 2033; pending extensions could move US to 2036 and parts of Europe to 2038.,2033: EU base date | 2034: US base date | 2036: Potential US extension,https://www.sec.gov/Archives/edgar/data/14272/000001427226000004/bmy-20251231.htm | https://www.bms.com/assets/bms/us/en-us/pdf/investor-info/doc_financials/quarterly_reports/2026/ghBMY-Q2-2026-Earnings-Press-Release.pdf
OPDUALAG,Bristol Myers Squibb,Opdualag,nivolumab + relatlimab-rmbw,Related marketed fixed-dose combination,Solid-tumor oncology,NSCLC | Immuno-oncology,nivolumab + relatlimab HD,2026E,2026,projected,1288,0.08691983122362879,2026E annualizes H1 2026. A base-case cliff begins around the currently listed 2033-2034 dates; pending patent-term/SPC extensions could delay the decline.,Current table: US 2034 and EU 2033; pending extensions could move US to 2036 and parts of Europe to 2038.,2033: EU base date | 2034: US base date | 2036: Potential US extension,https://www.sec.gov/Archives/edgar/data/14272/000001427226000004/bmy-20251231.htm | https://www.bms.com/assets/bms/us/en-us/pdf/investor-info/doc_financials/quarterly_reports/2026/ghBMY-Q2-2026-Earnings-Press-Release.pdf
OPDUALAG,Bristol Myers Squibb,Opdualag,nivolumab + relatlimab-rmbw,Related marketed fixed-dose combination,Solid-tumor oncology,NSCLC | Immuno-oncology,nivolumab + relatlimab HD,2027,2027,projected,1518,0.1785714285714286,2026E annualizes H1 2026. A base-case cliff begins around the currently listed 2033-2034 dates; pending patent-term/SPC extensions could delay the decline.,Current table: US 2034 and EU 2033; pending extensions could move US to 2036 and parts of Europe to 2038.,2033: EU base date | 2034: US base date | 2036: Potential US extension,https://www.sec.gov/Archives/edgar/data/14272/000001427226000004/bmy-20251231.htm | https://www.bms.com/assets/bms/us/en-us/pdf/investor-info/doc_financials/quarterly_reports/2026/ghBMY-Q2-2026-Earnings-Press-Release.pdf
OPDUALAG,Bristol Myers Squibb,Opdualag,nivolumab + relatlimab-rmbw,Related marketed fixed-dose combination,Solid-tumor oncology,NSCLC | Immuno-oncology,nivolumab + relatlimab HD,2028,2028,projected,1776,0.1699604743083003,2026E annualizes H1 2026. A base-case cliff begins around the currently listed 2033-2034 dates; pending patent-term/SPC extensions could delay the decline.,Current table: US 2034 and EU 2033; pending extensions could move US to 2036 and parts of Europe to 2038.,2033: EU base date | 2034: US base date | 2036: Potential US extension,https://www.sec.gov/Archives/edgar/data/14272/000001427226000004/bmy-20251231.htm | https://www.bms.com/assets/bms/us/en-us/pdf/investor-info/doc_financials/quarterly_reports/2026/ghBMY-Q2-2026-Earnings-Press-Release.pdf
OPDUALAG,Bristol Myers Squibb,Opdualag,nivolumab + relatlimab-rmbw,Related marketed fixed-dose combination,Solid-tumor oncology,NSCLC | Immuno-oncology,nivolumab + relatlimab HD,2029,2029,projected,2016,0.1351351351351351,2026E annualizes H1 2026. A base-case cliff begins around the currently listed 2033-2034 dates; pending patent-term/SPC extensions could delay the decline.,Current table: US 2034 and EU 2033; pending extensions could move US to 2036 and parts of Europe to 2038.,2033: EU base date | 2034: US base date | 2036: Potential US extension,https://www.sec.gov/Archives/edgar/data/14272/000001427226000004/bmy-20251231.htm | https://www.bms.com/assets/bms/us/en-us/pdf/investor-info/doc_financials/quarterly_reports/2026/ghBMY-Q2-2026-Earnings-Press-Release.pdf
OPDUALAG,Bristol Myers Squibb,Opdualag,nivolumab + relatlimab-rmbw,Related marketed fixed-dose combination,Solid-tumor oncology,NSCLC | Immuno-oncology,nivolumab + relatlimab HD,2030,2030,projected,2218,0.10019841269841279,2026E annualizes H1 2026. A base-case cliff begins around the currently listed 2033-2034 dates; pending patent-term/SPC extensions could delay the decline.,Current table: US 2034 and EU 2033; pending extensions could move US to 2036 and parts of Europe to 2038.,2033: EU base date | 2034: US base date | 2036: Potential US extension,https://www.sec.gov/Archives/edgar/data/14272/000001427226000004/bmy-20251231.htm | https://www.bms.com/assets/bms/us/en-us/pdf/investor-info/doc_financials/quarterly_reports/2026/ghBMY-Q2-2026-Earnings-Press-Release.pdf
OPDUALAG,Bristol Myers Squibb,Opdualag,nivolumab + relatlimab-rmbw,Related marketed fixed-dose combination,Solid-tumor oncology,NSCLC | Immuno-oncology,nivolumab + relatlimab HD,2031,2031,projected,2373,0.06988277727682601,2026E annualizes H1 2026. A base-case cliff begins around the currently listed 2033-2034 dates; pending patent-term/SPC extensions could delay the decline.,Current table: US 2034 and EU 2033; pending extensions could move US to 2036 and parts of Europe to 2038.,2033: EU base date | 2034: US base date | 2036: Potential US extension,https://www.sec.gov/Archives/edgar/data/14272/000001427226000004/bmy-20251231.htm | https://www.bms.com/assets/bms/us/en-us/pdf/investor-info/doc_financials/quarterly_reports/2026/ghBMY-Q2-2026-Earnings-Press-Release.pdf
OPDUALAG,Bristol Myers Squibb,Opdualag,nivolumab + relatlimab-rmbw,Related marketed fixed-dose combination,Solid-tumor oncology,NSCLC | Immuno-oncology,nivolumab + relatlimab HD,2032,2032,projected,2470,0.040876527602191404,2026E annualizes H1 2026. A base-case cliff begins around the currently listed 2033-2034 dates; pending patent-term/SPC extensions could delay the decline.,Current table: US 2034 and EU 2033; pending extensions could move US to 2036 and parts of Europe to 2038.,2033: EU base date | 2034: US base date | 2036: Potential US extension,https://www.sec.gov/Archives/edgar/data/14272/000001427226000004/bmy-20251231.htm | https://www.bms.com/assets/bms/us/en-us/pdf/investor-info/doc_financials/quarterly_reports/2026/ghBMY-Q2-2026-Earnings-Press-Release.pdf
OPDUALAG,Bristol Myers Squibb,Opdualag,nivolumab + relatlimab-rmbw,Related marketed fixed-dose combination,Solid-tumor oncology,NSCLC | Immuno-oncology,nivolumab + relatlimab HD,2033,2033,projected,2347,-0.04979757085020242,2026E annualizes H1 2026. A base-case cliff begins around the currently listed 2033-2034 dates; pending patent-term/SPC extensions could delay the decline.,Current table: US 2034 and EU 2033; pending extensions could move US to 2036 and parts of Europe to 2038.,2033: EU base date | 2034: US base date | 2036: Potential US extension,https://www.sec.gov/Archives/edgar/data/14272/000001427226000004/bmy-20251231.htm | https://www.bms.com/assets/bms/us/en-us/pdf/investor-info/doc_financials/quarterly_reports/2026/ghBMY-Q2-2026-Earnings-Press-Release.pdf
OPDUALAG,Bristol Myers Squibb,Opdualag,nivolumab + relatlimab-rmbw,Related marketed fixed-dose combination,Solid-tumor oncology,NSCLC | Immuno-oncology,nivolumab + relatlimab HD,2034,2034,projected,1878,-0.19982956966340004,2026E annualizes H1 2026. A base-case cliff begins around the currently listed 2033-2034 dates; pending patent-term/SPC extensions could delay the decline.,Current table: US 2034 and EU 2033; pending extensions could move US to 2036 and parts of Europe to 2038.,2033: EU base date | 2034: US base date | 2036: Potential US extension,https://www.sec.gov/Archives/edgar/data/14272/000001427226000004/bmy-20251231.htm | https://www.bms.com/assets/bms/us/en-us/pdf/investor-info/doc_financials/quarterly_reports/2026/ghBMY-Q2-2026-Earnings-Press-Release.pdf
OPDUALAG,Bristol Myers Squibb,Opdualag,nivolumab + relatlimab-rmbw,Related marketed fixed-dose combination,Solid-tumor oncology,NSCLC | Immuno-oncology,nivolumab + relatlimab HD,2035,2035,projected,1502,-0.20021299254526093,2026E annualizes H1 2026. A base-case cliff begins around the currently listed 2033-2034 dates; pending patent-term/SPC extensions could delay the decline.,Current table: US 2034 and EU 2033; pending extensions could move US to 2036 and parts of Europe to 2038.,2033: EU base date | 2034: US base date | 2036: Potential US extension,https://www.sec.gov/Archives/edgar/data/14272/000001427226000004/bmy-20251231.htm | https://www.bms.com/assets/bms/us/en-us/pdf/investor-info/doc_financials/quarterly_reports/2026/ghBMY-Q2-2026-Earnings-Press-Release.pdf
OPDUALAG,Bristol Myers Squibb,Opdualag,nivolumab + relatlimab-rmbw,Related marketed fixed-dose combination,Solid-tumor oncology,NSCLC | Immuno-oncology,nivolumab + relatlimab HD,2036,2036,projected,901,-0.40013315579227693,2026E annualizes H1 2026. A base-case cliff begins around the currently listed 2033-2034 dates; pending patent-term/SPC extensions could delay the decline.,Current table: US 2034 and EU 2033; pending extensions could move US to 2036 and parts of Europe to 2038.,2033: EU base date | 2034: US base date | 2036: Potential US extension,https://www.sec.gov/Archives/edgar/data/14272/000001427226000004/bmy-20251231.htm | https://www.bms.com/assets/bms/us/en-us/pdf/investor-info/doc_financials/quarterly_reports/2026/ghBMY-Q2-2026-Earnings-Press-Release.pdf
BREYANZI,Bristol Myers Squibb,Breyanzi,lisocabtagene maraleucel,B-cell lymphoma cell-therapy benchmark,Hematology,B-cell lymphoma,,2023,2023,reported,364,,2026E annualizes H1 2026. The scenario assumes continued uptake followed by erosion at the currently disclosed minimum exclusivity date.,"Current minimum exclusivity is 2033 across the US, EU and Japan; a US patent-term-restoration application could extend to 2034.",2033: Current minimum LOE | 2034: Potential US extension,https://www.sec.gov/Archives/edgar/data/14272/000001427226000004/bmy-20251231.htm | https://www.bms.com/assets/bms/us/en-us/pdf/investor-info/doc_financials/quarterly_reports/2026/ghBMY-Q2-2026-Earnings-Press-Release.pdf
BREYANZI,Bristol Myers Squibb,Breyanzi,lisocabtagene maraleucel,B-cell lymphoma cell-therapy benchmark,Hematology,B-cell lymphoma,,2024,2024,reported,747,1.052197802197802,2026E annualizes H1 2026. The scenario assumes continued uptake followed by erosion at the currently disclosed minimum exclusivity date.,"Current minimum exclusivity is 2033 across the US, EU and Japan; a US patent-term-restoration application could extend to 2034.",2033: Current minimum LOE | 2034: Potential US extension,https://www.sec.gov/Archives/edgar/data/14272/000001427226000004/bmy-20251231.htm | https://www.bms.com/assets/bms/us/en-us/pdf/investor-info/doc_financials/quarterly_reports/2026/ghBMY-Q2-2026-Earnings-Press-Release.pdf
BREYANZI,Bristol Myers Squibb,Breyanzi,lisocabtagene maraleucel,B-cell lymphoma cell-therapy benchmark,Hematology,B-cell lymphoma,,2025,2025,reported,1358,0.8179384203480589,2026E annualizes H1 2026. The scenario assumes continued uptake followed by erosion at the currently disclosed minimum exclusivity date.,"Current minimum exclusivity is 2033 across the US, EU and Japan; a US patent-term-restoration application could extend to 2034.",2033: Current minimum LOE | 2034: Potential US extension,https://www.sec.gov/Archives/edgar/data/14272/000001427226000004/bmy-20251231.htm | https://www.bms.com/assets/bms/us/en-us/pdf/investor-info/doc_financials/quarterly_reports/2026/ghBMY-Q2-2026-Earnings-Press-Release.pdf
BREYANZI,Bristol Myers Squibb,Breyanzi,lisocabtagene maraleucel,B-cell lymphoma cell-therapy benchmark,Hematology,B-cell lymphoma,,2026E,2026,projected,1792,0.31958762886597936,2026E annualizes H1 2026. The scenario assumes continued uptake followed by erosion at the currently disclosed minimum exclusivity date.,"Current minimum exclusivity is 2033 across the US, EU and Japan; a US patent-term-restoration application could extend to 2034.",2033: Current minimum LOE | 2034: Potential US extension,https://www.sec.gov/Archives/edgar/data/14272/000001427226000004/bmy-20251231.htm | https://www.bms.com/assets/bms/us/en-us/pdf/investor-info/doc_financials/quarterly_reports/2026/ghBMY-Q2-2026-Earnings-Press-Release.pdf
BREYANZI,Bristol Myers Squibb,Breyanzi,lisocabtagene maraleucel,B-cell lymphoma cell-therapy benchmark,Hematology,B-cell lymphoma,,2027,2027,projected,2150,0.1997767857142858,2026E annualizes H1 2026. The scenario assumes continued uptake followed by erosion at the currently disclosed minimum exclusivity date.,"Current minimum exclusivity is 2033 across the US, EU and Japan; a US patent-term-restoration application could extend to 2034.",2033: Current minimum LOE | 2034: Potential US extension,https://www.sec.gov/Archives/edgar/data/14272/000001427226000004/bmy-20251231.htm | https://www.bms.com/assets/bms/us/en-us/pdf/investor-info/doc_financials/quarterly_reports/2026/ghBMY-Q2-2026-Earnings-Press-Release.pdf
BREYANZI,Bristol Myers Squibb,Breyanzi,lisocabtagene maraleucel,B-cell lymphoma cell-therapy benchmark,Hematology,B-cell lymphoma,,2028,2028,projected,2451,0.1399999999999999,2026E annualizes H1 2026. The scenario assumes continued uptake followed by erosion at the currently disclosed minimum exclusivity date.,"Current minimum exclusivity is 2033 across the US, EU and Japan; a US patent-term-restoration application could extend to 2034.",2033: Current minimum LOE | 2034: Potential US extension,https://www.sec.gov/Archives/edgar/data/14272/000001427226000004/bmy-20251231.htm | https://www.bms.com/assets/bms/us/en-us/pdf/investor-info/doc_financials/quarterly_reports/2026/ghBMY-Q2-2026-Earnings-Press-Release.pdf
BREYANZI,Bristol Myers Squibb,Breyanzi,lisocabtagene maraleucel,B-cell lymphoma cell-therapy benchmark,Hematology,B-cell lymphoma,,2029,2029,projected,2647,0.07996736026111795,2026E annualizes H1 2026. The scenario assumes continued uptake followed by erosion at the currently disclosed minimum exclusivity date.,"Current minimum exclusivity is 2033 across the US, EU and Japan; a US patent-term-restoration application could extend to 2034.",2033: Current minimum LOE | 2034: Potential US extension,https://www.sec.gov/Archives/edgar/data/14272/000001427226000004/bmy-20251231.htm | https://www.bms.com/assets/bms/us/en-us/pdf/investor-info/doc_financials/quarterly_reports/2026/ghBMY-Q2-2026-Earnings-Press-Release.pdf
BREYANZI,Bristol Myers Squibb,Breyanzi,lisocabtagene maraleucel,B-cell lymphoma cell-therapy benchmark,Hematology,B-cell lymphoma,,2030,2030,projected,2806,0.060068001511144775,2026E annualizes H1 2026. The scenario assumes continued uptake followed by erosion at the currently disclosed minimum exclusivity date.,"Current minimum exclusivity is 2033 across the US, EU and Japan; a US patent-term-restoration application could extend to 2034.",2033: Current minimum LOE | 2034: Potential US extension,https://www.sec.gov/Archives/edgar/data/14272/000001427226000004/bmy-20251231.htm | https://www.bms.com/assets/bms/us/en-us/pdf/investor-info/doc_financials/quarterly_reports/2026/ghBMY-Q2-2026-Earnings-Press-Release.pdf
BREYANZI,Bristol Myers Squibb,Breyanzi,lisocabtagene maraleucel,B-cell lymphoma cell-therapy benchmark,Hematology,B-cell lymphoma,,2031,2031,projected,2918,0.03991446899501061,2026E annualizes H1 2026. The scenario assumes continued uptake followed by erosion at the currently disclosed minimum exclusivity date.,"Current minimum exclusivity is 2033 across the US, EU and Japan; a US patent-term-restoration application could extend to 2034.",2033: Current minimum LOE | 2034: Potential US extension,https://www.sec.gov/Archives/edgar/data/14272/000001427226000004/bmy-20251231.htm | https://www.bms.com/assets/bms/us/en-us/pdf/investor-info/doc_financials/quarterly_reports/2026/ghBMY-Q2-2026-Earnings-Press-Release.pdf
BREYANZI,Bristol Myers Squibb,Breyanzi,lisocabtagene maraleucel,B-cell lymphoma cell-therapy benchmark,Hematology,B-cell lymphoma,,2032,2032,projected,3006,0.030157642220699055,2026E annualizes H1 2026. The scenario assumes continued uptake followed by erosion at the currently disclosed minimum exclusivity date.,"Current minimum exclusivity is 2033 across the US, EU and Japan; a US patent-term-restoration application could extend to 2034.",2033: Current minimum LOE | 2034: Potential US extension,https://www.sec.gov/Archives/edgar/data/14272/000001427226000004/bmy-20251231.htm | https://www.bms.com/assets/bms/us/en-us/pdf/investor-info/doc_financials/quarterly_reports/2026/ghBMY-Q2-2026-Earnings-Press-Release.pdf
BREYANZI,Bristol Myers Squibb,Breyanzi,lisocabtagene maraleucel,B-cell lymphoma cell-therapy benchmark,Hematology,B-cell lymphoma,,2033,2033,projected,2705,-0.10013306719893544,2026E annualizes H1 2026. The scenario assumes continued uptake followed by erosion at the currently disclosed minimum exclusivity date.,"Current minimum exclusivity is 2033 across the US, EU and Japan; a US patent-term-restoration application could extend to 2034.",2033: Current minimum LOE | 2034: Potential US extension,https://www.sec.gov/Archives/edgar/data/14272/000001427226000004/bmy-20251231.htm | https://www.bms.com/assets/bms/us/en-us/pdf/investor-info/doc_financials/quarterly_reports/2026/ghBMY-Q2-2026-Earnings-Press-Release.pdf
BREYANZI,Bristol Myers Squibb,Breyanzi,lisocabtagene maraleucel,B-cell lymphoma cell-therapy benchmark,Hematology,B-cell lymphoma,,2034,2034,projected,2164,-0.19999999999999996,2026E annualizes H1 2026. The scenario assumes continued uptake followed by erosion at the currently disclosed minimum exclusivity date.,"Current minimum exclusivity is 2033 across the US, EU and Japan; a US patent-term-restoration application could extend to 2034.",2033: Current minimum LOE | 2034: Potential US extension,https://www.sec.gov/Archives/edgar/data/14272/000001427226000004/bmy-20251231.htm | https://www.bms.com/assets/bms/us/en-us/pdf/investor-info/doc_financials/quarterly_reports/2026/ghBMY-Q2-2026-Earnings-Press-Release.pdf
CAMZYOS,Bristol Myers Squibb,Camzyos,mavacamten,Cardiac-myosin commercial benchmark,Cardiovascular,Heart failure,,2023,2023,reported,231,,2026E annualizes H1 2026. The scenario uses a maturing growth curve and applies erosion at the disclosed US patent expiry.,US patent expiry is 2036; granted/pending extensions indicate 2038 in major European markets and 2039 in Japan.,2036: US LOE,https://www.sec.gov/Archives/edgar/data/14272/000001427226000004/bmy-20251231.htm | https://www.bms.com/assets/bms/us/en-us/pdf/investor-info/doc_financials/quarterly_reports/2026/ghBMY-Q2-2026-Earnings-Press-Release.pdf
CAMZYOS,Bristol Myers Squibb,Camzyos,mavacamten,Cardiac-myosin commercial benchmark,Cardiovascular,Heart failure,,2024,2024,reported,602,1.606060606060606,2026E annualizes H1 2026. The scenario uses a maturing growth curve and applies erosion at the disclosed US patent expiry.,US patent expiry is 2036; granted/pending extensions indicate 2038 in major European markets and 2039 in Japan.,2036: US LOE,https://www.sec.gov/Archives/edgar/data/14272/000001427226000004/bmy-20251231.htm | https://www.bms.com/assets/bms/us/en-us/pdf/investor-info/doc_financials/quarterly_reports/2026/ghBMY-Q2-2026-Earnings-Press-Release.pdf
CAMZYOS,Bristol Myers Squibb,Camzyos,mavacamten,Cardiac-myosin commercial benchmark,Cardiovascular,Heart failure,,2025,2025,reported,1068,0.7740863787375416,2026E annualizes H1 2026. The scenario uses a maturing growth curve and applies erosion at the disclosed US patent expiry.,US patent expiry is 2036; granted/pending extensions indicate 2038 in major European markets and 2039 in Japan.,2036: US LOE,https://www.sec.gov/Archives/edgar/data/14272/000001427226000004/bmy-20251231.htm | https://www.bms.com/assets/bms/us/en-us/pdf/investor-info/doc_financials/quarterly_reports/2026/ghBMY-Q2-2026-Earnings-Press-Release.pdf
